start,end,text
12.08,16.92,कर्नल अजीत सिंह जी लखनऊ से
18.24,22.72,महाराज जी भगवत मार्ग बहुत मीठा लग रहा
20.72,23.358999999999998,है। इस मार्ग पर हमने धीरे-धीरे सात्विक
22.72,25.198999999999998,भोजन शुरू
23.359,27.76,पहली बात तो हम धन्यवाद देते हैं जो आपको
25.199,30.0,मीठा लग रहा है। [हंसी]
27.76,33.92,ले भगवत मार्ग सबको कड़वा लगता है।
30.0,36.88,प्रारंभ यत तज्ञ विस्म परिणाम अमृतो पम ये
33.92,39.36,थोड़ा प्रारंभ में विषवत मार्ग लगता है और
36.88,42.399,विषयों का प्रारंभ में अमृत लगता है तो
39.36,45.2,परिणाम विषय पहली बात तो धन्यवाद कि आपको
42.399,45.6,ये मीठा लगने लगा। ये बहुत बढ़िया बात है।
45.2,47.28,जी
45.6,49.039,महाराज जी इस मार्ग पर हमने धीरे-धीरे
47.28,51.120000000000005,सात्विक भोजन शुरू कर दिया है और हमारा
49.039,53.92,व्यवहार भी बदलने लगा है और हमारे हर
51.12,56.8,कार्य पूरे हो रहे हैं और लोगों से अच्छे
53.92,59.28,संबंध बन रहे हैं। मगर हम इस मार्ग में जब
56.8,61.68,एक सैनिक हैं होने के नाते कभी-कभी हमारे
59.28,64.479,अच्छे व्यवहार का नाम नाजायज फायदा भी
61.68,67.76,उठाया जाता है। पर हम प्रभु से विश
64.479,70.88,विश्वास करके हर चीज सह लेते हैं। पहली
67.76,74.24000000000001,बात तो यह है कि हमारा अच्छा व्यवहार किसी
70.88,77.759,से धन्यवाद लेने के लिए नहीं होना चाहिए।
74.24,80.15899999999999,तभी वह अच्छा होगा। हमारा अच्छा व्यवहार
77.759,82.56,भगवान की प्रसन्नता के लिए होना। हमने
80.159,85.28,आपसे अच्छा व्यवहार किया। अब ये हमारा
82.56,87.28,कर्म भगवान को समर्पित है। आप हमको गाली
85.28,89.92,दो लेकिन कल फिर मिलोगे हम आपसे अच्छा
87.28,92.72,व्यवहार करेंगे। समझ रहे हो? और अगर हम
89.92,95.36,"बदले में धन्यवाद लेना चाहते हैं, बदले"
92.72,96.88,"में कुछ कृतज्ञता लेना चाहते हैं, फिर वो"
95.36,99.439,अच्छा व्यवहार नहीं होगा। होगा वह स्वार्थ
96.88,102.32,का व्यवहार हो जाएगा। अच्छा वही है जो
99.439,105.83999999999999,भगवत प्राप्ति करावे। अच्छा वही है जो
102.32,108.479,असंगता बढ़ावे। अच्छा वही है जो सहनशीलता
105.84,111.60000000000001,और ततीक्षा बढ़ावे। ऐसे तो आप कमजोर हो
108.479,113.439,जाएंगे। नहीं कि सामने वाले के साथ आपने
111.6,116.24,अच्छा व्यवहार किया। वो आपके साथ गलत
113.439,118.55999999999999,व्यवहार करेगा तो आप जलने लगोगे। दुख पैदा
116.24,121.03999999999999,हो जाएगा हृदय में। नहीं नेकी कर दरिया
118.56,122.71900000000001,में डाल। उसके व्यवहार से कोई मतलब मैं
121.04,125.119,अपने कर्तव्य का पालन कर रहा हूं। तेरे
122.719,127.52,कर्तव्य की जिम्मेवारी मेरे ऊपर नहीं।
125.119,129.759,नहीं मैं अपने कर्तव्य का आपके साथ ठीक
127.52,131.84,व्यवहार कर रहा हूं और आप इसके बदले में
129.759,133.83999999999997,हमें गाली दें या अपमान करें या सम्मान
131.84,136.72,करें उससे मुझे कोई लेना देना नहीं मुझे
133.84,139.599,अपने कर्तव्य का पालन तो फिर आप बहादुर
136.72,142.72,सैनिक भी हो और बहादुर साधक भी हो जाओगे
139.599,144.879,ठीक है ना जी विष्णु प्रपन्नाचार्य जी
142.72,147.76,नेपाल से
144.879,150.39999999999998,महाराज जी राधे-राधे महाराज जी मुझे तीन
147.76,153.35999999999999,चीजों से अलग होना है शिष्येशणा
150.4,157.20000000000002,वित्तेष्णा और लोकेशना महाराज जी इसके लिए
153.36,160.959,"यही तो साधु के मार्ग में बाधा है। कंचन,"
157.2,164.07999999999998,"कामिनी, कीर्ति तो आज के सत्संग में हम कह"
160.959,167.92000000000002,रहे थे कि ये कोई छोटी मोटी चीज नहीं है।
164.08,171.12,अक्रूर जैसे महात्मा जब समंतक मणि हाथ लगी
167.92,174.23899999999998,तो दूर हो गए द्वारिकाधीश से और काशी जाकर
171.12,177.68,यज्ञ करने लगे। छुपा लिया समंतक। नीलमणि
174.239,179.28,भगवान से बढ़कर समंतक मणि लगी। समझ में आ
177.68,181.44,रहा है?
179.28,184.48,महाप्रभु चैतन्य देव जी के चरित्र में
181.44,188.0,पढ़ा कि एक कृष्णदास के नाम के महात्मा
184.48,191.76,महाप्रभु के साथ थे और वो वाम मार्गियों
188.0,195.76,को देखकर जो गलत आचरण में थे उनका संग कर
191.76,200.07999999999998,लिया। कामिनी का आकर्षण कामिनी का आकर्षण
195.76,206.159,कोई छोटा-मोटा आकर्षण नहीं है। बहुत बड़ी
200.08,210.72000000000003,सामर्थ्य है। नारी नयन सर जाह न लागा। पर
206.159,213.67999999999998,चक्की चलती है ना हर दाना पिसता है पर जो
210.72,218.319,कील के नजदीक पहुंच गया वह नहीं पिसता
213.68,221.36,चलती चक्की देख के दिया कबीरा रोए दो पाटन
218.319,226.23899999999998,के बीच में साबित बचा ना कोई तो चलती
221.36,229.28,चक्की देख के दिया कमाल ठठाए सहारे कील के
226.239,232.879,तो बाल ना बाका जाए सीम की चाचाप सके
229.28,234.72,कोतासु ब रखवार रमापति जासु तुमसे सच्ची
232.879,238.319,कहते
234.72,243.28,जवानी व्यतीत हुई है। अब 13 में निकले थे।
238.319,246.959,14 15 16 17 18 19 20 अब मान लो 55 की आयु
243.28,251.04,लगभग तो इतना जो बीच की यात्रा जीवन में
246.959,253.92000000000002,कभी किसी माई को ऐसे नहीं देखा। अब सेवा
251.04,256.56,दी है तो सत्संग प्रश्न उत्तर वो चर्चा
253.92,259.44,अलग है और रुपया गंगा किनारे रुपया
256.56,261.199,मिलेगा। भोजन तो मिलता नहीं। किनारे ही
259.44,263.68,रहना किसी गांव में नहीं जाना। भिक्षा
261.199,268.0,नहीं मांगना आकाश वृत्ति से जो हमें गंगा
263.68,272.639,किनारे मिलेगा वो गुरु प्रसाद से ऐसा अब
268.0,275.36,अब जो जीवन है अब वो भगवान के आश्रित जीवन
272.639,277.44,पूर्ण रूप से है अब महलों में रखो चाहे
275.36,280.96000000000004,झोपड़ी में बास दो अपना अस्तित्व ही नहीं
277.44,283.84,रह गया है अब वो जैसे चाहे वैसे तो जब तक
280.96,286.56,साधक का अहंकार
283.84,288.71999999999997,पूर्ण रूप से भगवान के चरणों में समर्पित
286.56,290.96,ना हो जाए
288.72,293.68,तब हम समझेंगे कि हमारा हमारा अहंकार
290.96,296.32,भगवान के चरणों में समर्पित हो गया। जब
293.68,300.40000000000003,हमें दूसरों में सद्गुण दिखाई दे अपने में
296.32,303.36,नीचता तब अहंकार गलित हो रहा है। देखो परम
300.4,307.19899999999996,ज्ञानी हनुमान जी महाराज हैं। ज्ञानी नाम
303.36,309.759,अग्रगण्यम बुद्धिमताम वरिष्ठम अतुलित
307.199,313.039,बलधाम हेम शैलाम
309.759,317.28000000000003,ऐसे महापुरुष जब विभीषण जी से मिलते हैं
313.039,322.4,तो क्या कह रहे हैं? अस्मय अधम सखा यह अहम
317.28,325.67999999999995,समर्पित है। अस्मय अधम सखास शबरी जी से
322.4,327.919,राम जी मिलते हैं तो कह रहे अधम ते अधम
325.68,330.96,अधम अति
327.919,334.24,प्रभु मैं बहुत अधम हूं और भगवान का
330.96,337.28,साक्षात दर्शन कर रहे दंडकारण के किसी ऋषि
334.24,341.039,के पास भगवान नहीं गए माता शबरी के पास गए
337.28,345.75899999999996,इतना अपार प्रेम है और वह अपने को अधम ते
341.039,349.039,अधम अधम अति नारी तिनमा मैं मति मंद अघारी
345.759,351.84000000000003,और भगवान कह रहे नौ भक्ति आप में विराजमान
349.039,354.639,तुम समान कौन हो सकता है? जो नवधा भक्ति
351.84,356.79999999999995,का उपदेश है वो हम लोगों के लिए है। शबरी
354.639,359.6,मैया के लिए नहीं क्योंकि शबरी मैया तो
356.8,362.639,उसी समय भगवान के सामने ही योगाग्नि में
359.6,366.16,शरीर भस्म करके परम पद प्राप्त करती हैं।
362.639,369.68,तो जब हमें दूसरों में सद्गुण दिखाई दे और
